id,time,sym,timeframe,side,quantity,price,commission,pct_return (excl commission), pct_returns ( incl commission)
2258,2021-08-13 14:33:38,AMD,2 mins,SELL,85.0,110.06,1.057826,-0.0011797803793447414,-0.0013993398205429664
2281,2021-08-13 14:34:51,AMD,2 mins,BUY,72.0,110.23,1.0,,
2322,2021-08-13 14:38:02,MSFT,2 mins,SELL,26.0,291.89,1.041799,0.0002398738948665713,-2.9228999304131698e-05
2325,2021-08-13 14:38:05,ATVI,12 mins,BUY,93.0,83.98,1.0,,
2346,2021-08-13 14:39:20,AMD,2 mins,SELL,72.0,110.04,1.048975,-0.0017236686927333267,-0.001981588170672066
2449,2021-08-13 14:46:38,MSFT,2 mins,BUY,32.0,291.94,1.0,,
2452,2021-08-13 14:46:41,MSFT,2 mins>4 hours,BUY,32.0,291.94,1.0,,
2495,2021-08-13 14:49:27,ATVI,2 mins,BUY,91.0,83.95,1.0,,
2498,2021-08-13 14:49:29,GOOG,2 mins,BUY,2.0,2765.29,1.0,,
2501,2021-08-13 14:49:31,MSFT,12 mins,BUY,21.0,291.97,1.0,,
2504,2021-08-13 14:49:33,MSFT,12 mins>4 hours,BUY,32.0,291.97,1.0,,
2507,2021-08-13 14:49:36,MSFT,2 mins>12 mins>4 hours,BUY,32.0,291.97,1.0,,
2528,2021-08-13 14:51:02,MSFT,2 mins>12 mins>4 hours,SELL,32.0,291.93,1.051451,-0.00013700037675112853,-0.00035653218522180286
2549,2021-08-13 14:52:41,ATVI,2 mins,SELL,91.0,83.87,1.049753,-0.0009529481834424924,-0.0012210999352132434
2552,2021-08-13 14:52:43,AMD,2 mins,BUY,60.0,110.03,1.0,,
2573,2021-08-13 14:53:59,ATVI,12 mins,SELL,93.0,83.83,1.050828,-0.001786139557037436,-0.0020484625803661727
2616,2021-08-13 14:56:47,MSFT,2 mins>12 mins>4 hours,BUY,32.0,292.0,1.0,,
2639,2021-08-13 14:58:25,AMZN,2 mins,BUY,1.0,3286.85,1.0,,
2662,2021-08-13 15:00:03,ATVI,2 mins,BUY,56.0,83.95,1.0,,
2665,2021-08-13 15:00:06,AMD,2 mins>4 hours,BUY,69.0,110.46,1.0,,
2668,2021-08-13 15:00:08,AMD,12 mins>4 hours,BUY,69.0,110.46,1.0,,
2671,2021-08-13 15:00:10,AMD,2 mins>12 mins>4 hours,BUY,69.0,110.48,1.0,,
2692,2021-08-13 15:01:21,GOOG,2 mins,SELL,2.0,2763.79,1.028429,-0.0005424385869112758,-0.0009090402742073511
2693,2021-08-13 15:01:23,AMD,2 mins>4 hours,SELL,69.0,110.4,1.047061,-0.0005431830526886339,-0.000811658406294824
2694,2021-08-13 15:01:25,AMD,12 mins>4 hours,SELL,69.0,110.4,1.047061,-0.0005431830526886339,-0.000811658406294824
2695,2021-08-13 15:01:28,AMD,2 mins>12 mins>4 hours,SELL,69.0,110.39,1.047057,-0.0008146270818247814,-0.0010830177122080897
2696,2021-08-13 15:01:30,MSFT,2 mins>12 mins>4 hours,SELL,32.0,292.04,1.051469,0.0001369863013698236,-8.255420010694348e-05
2717,2021-08-13 15:03:08,ATVI,2 mins,SELL,56.0,83.87,1.030617,-0.0009529481834424924,-0.0013845895538258102
2718,2021-08-13 15:03:10,AMD,2 mins,SELL,60.0,110.32,1.040898,0.0026356448241386943,0.0023261498152298277
2719,2021-08-13 15:03:12,AMZN,2 mins,SELL,1.0,3284.78,1.016871,-0.0006297823143738279,-0.0012430223398267604
2720,2021-08-13 15:03:15,MSFT,2 mins,SELL,32.0,291.98,1.051459,0.00013701445502500853,-8.257009465828524e-05
2721,2021-08-13 15:03:17,MSFT,2 mins>4 hours,SELL,32.0,291.97,1.051458,0.00010276084126892293,-0.00011681993518186662
2784,2021-08-13 15:07:16,ATVI,2 mins,BUY,112.0,83.94,1.0,,
2787,2021-08-13 15:07:18,MSFT,2 mins,BUY,26.0,292.09,1.0,,
2790,2021-08-13 15:07:20,MSFT,2 mins>4 hours,BUY,32.0,292.1,1.0,,
2831,2021-08-13 15:10:26,ATVI,2 mins,SELL,112.0,83.95,1.0612810000000001,0.00011913271384322854,-0.00010011199411197325
2854,2021-08-13 15:11:44,ATVI,2 mins,BUY,95.0,83.95,1.0,,
2877,2021-08-13 15:13:21,GOOG,2 mins,BUY,2.0,2764.5,1.0,,
2880,2021-08-13 15:13:25,AMZN,2 mins,BUY,1.0,3288.0,1.0,,
2881,2021-08-13 15:13:27,MSFT,2 mins,SELL,26.0,292.07,1.041822,-6.847204628701586e-05,-0.000337288653305845
2882,2021-08-13 15:13:29,MSFT,2 mins>4 hours,SELL,32.0,292.09,1.051477,-3.4234851078562833e-05,-0.000253682741062744
2905,2021-08-13 15:14:33,ATVI,12 mins,BUY,79.0,84.03,1.0,,
2926,2021-08-13 15:16:08,MSFT,12 mins,SELL,21.0,292.07,1.03378,0.00034250094187737723,1.0798435188918987e-05
2927,2021-08-13 15:16:10,MSFT,12 mins>4 hours,SELL,32.0,292.08,1.051475,0.0003767510360652704,0.00015716167738988318
2968,2021-08-13 15:19:07,ATVI,2 mins,SELL,95.0,84.0,1.052003,0.0005955926146514745,0.00033825381601637616
2969,2021-08-13 15:19:09,GOOG,2 mins,SELL,2.0,2763.22,1.028423,-0.0004630132031109291,-0.0008297329113924334
3052,2021-08-13 15:25:07,MSFT,2 mins,BUY,30.0,292.08,1.0,,
3055,2021-08-13 15:25:09,MSFT,2 mins>4 hours,BUY,32.0,292.08,1.0,,
3076,2021-08-13 15:26:25,AMZN,2 mins,SELL,1.0,3286.91,1.016882,-0.0003315085158150932,-0.0009446281544542856
3159,2021-08-13 15:32:26,MSFT,12 mins,BUY,22.0,292.21,1.0,,
3162,2021-08-13 15:32:28,MSFT,12 mins>4 hours,BUY,32.0,292.21,1.0,,
3183,2021-08-13 15:33:43,ATVI,12 mins,SELL,79.0,83.85,1.043184,-0.002142092109960858,-0.0024495071068491026
3226,2021-08-13 15:36:32,AMZN,2 mins,BUY,2.0,3289.33,1.0,,
3229,2021-08-13 15:36:35,AMD,12 mins>4 hours,BUY,69.0,110.71,1.0,,
3252,2021-08-13 15:38:07,AMD,2 mins,BUY,59.0,110.76,1.0,,
3255,2021-08-13 15:38:10,GOOG,12 mins,BUY,2.0,2765.98,1.0,,
3258,2021-08-13 15:38:12,AMD,2 mins>4 hours,BUY,69.0,110.76,1.0,,
3261,2021-08-13 15:38:14,AMD,2 mins>12 mins>4 hours,BUY,85.0,110.75,1.0,,
3284,2021-08-13 15:39:53,ATVI,2 mins,BUY,63.0,83.97,1.0,,
3285,2021-08-13 15:39:55,MSFT,2 mins,SELL,30.0,292.26,1.048286,0.0006162695152014397,0.0003824673072094775
3286,2021-08-13 15:39:57,MSFT,2 mins>4 hours,SELL,32.0,292.3,1.051511,0.0007532182963572165,0.0005336675025355841
3309,2021-08-13 15:41:10,GOOG,2 mins,BUY,2.0,2767.38,1.0,,
3330,2021-08-13 15:42:47,AMD,2 mins,SELL,59.0,110.54,1.040282,-0.0019862766341639526,-0.002298141019363875
3331,2021-08-13 15:42:49,AMD,2 mins>4 hours,SELL,69.0,110.46,1.047082,-0.002708559046587289,-0.0029760267628189396
3332,2021-08-13 15:42:51,AMD,2 mins>12 mins>4 hours,SELL,85.0,110.44,1.057991,-0.0027990970654627745,-0.0030173919647361602
3353,2021-08-13 15:43:59,ATVI,2 mins,SELL,63.0,83.84,1.034435,-0.0015481719661782911,-0.0019323799732001712
3354,2021-08-13 15:44:01,AMD,12 mins,SELL,77.0,110.36,1.052501,0.0005439709882140153,0.00030226851579318037
3355,2021-08-13 15:44:03,AMD,12 mins>4 hours,SELL,69.0,110.35,1.047043,-0.003251738776984925,-0.003519251072318097
3376,2021-08-13 15:45:34,GOOG,2 mins,SELL,2.0,2766.76,1.028459,-0.00022403862136743946,-0.0005904264274462223
3399,2021-08-13 15:47:15,AMZN,12 mins,BUY,2.0,3288.98,1.0,,
3420,2021-08-13 15:48:31,AMZN,2 mins,SELL,2.0,3287.55,1.033771,-0.0005411436371539624,-0.0008501611025493183
3443,2021-08-13 15:50:07,MSFT,1 hour,BUY,32.0,292.6,1.0,,
3466,2021-08-13 15:51:19,MSFT,12 mins>1 hour,BUY,32.0,292.61,1.0,,
3509,2021-08-13 15:54:34,AMZN,2 mins,BUY,2.0,3291.79,1.0,,
3572,2021-08-13 15:58:38,AMD,2 mins,BUY,74.0,110.57,1.0,,
3595,2021-08-16 09:32:16,AMZN,2 mins,SELL,2.0,3279.2,1.033686,-0.00382466682261029,-0.00413294181253776
3598,2021-08-16 09:32:19,ATVI,12 mins,BUY,70.0,84.03,1.0,,
3599,2021-08-16 09:32:21,GOOG,12 mins,SELL,2.0,2760.13,1.028391,-0.0021149827547559674,-0.0024812019244671024
3600,2021-08-16 09:32:24,AMZN,12 mins,SELL,2.0,3277.54,1.033669,-0.0034782820205656595,-0.0037868704172088208
3603,2021-08-16 09:32:26,ATVI,1 hour,BUY,92.0,83.94,1.0,,
3604,2021-08-16 09:32:29,MSFT,4 hours,SELL,26.0,294.47,1.042141,0.009115520372845465,0.008845193501369364
3607,2021-08-16 09:32:31,ATVI,12 mins>1 hour,BUY,92.0,83.87,1.0,,
3608,2021-08-16 09:32:34,MSFT,12 mins>4 hours,SELL,32.0,294.53,1.051875,0.007939495568255683,0.007719235071195429
3631,2021-08-16 09:33:54,GOOG,2 mins,BUY,2.0,2769.05,1.0,,
3634,2021-08-16 09:33:56,AMD,12 mins,BUY,64.0,110.84,1.0,,
3635,2021-08-16 09:33:58,ATVI,12 mins>1 hour,SELL,92.0,83.58,1.050164,-0.0034577322046024372,-0.003722951287022158
3676,2021-08-16 09:36:37,ATVI,1 hour,SELL,92.0,83.3,1.050032,-0.007624493685966183,-0.007888935039645384
3697,2021-08-16 09:37:57,AMD,2 mins,SELL,74.0,110.09,1.050354,-0.004341141358415346,-0.004591167981151556
3698,2021-08-16 09:37:59,ATVI,12 mins,SELL,70.0,83.37,1.038093,-0.007854337736522665,-0.008199434481820811
3699,2021-08-16 09:38:01,AMD,12 mins,SELL,64.0,110.13,1.043562,-0.006405629736557228,-0.006692765082962682
3722,2021-08-16 09:39:22,AMZN,2 mins,BUY,2.0,3287.98,1.0,,
3723,2021-08-16 09:39:24,AMD,4 hours,SELL,86.0,110.07,1.058511,-0.004702052626819886,-0.004917976206246233
3744,2021-08-16 09:40:44,GOOG,2 mins,SELL,2.0,2767.93,1.028471,-0.0004044708474026937,-0.0007706073188785689
3845,2021-08-16 09:47:18,AMZN,2 mins,SELL,2.0,3276.03,1.033654,-0.0036344503312063514,-0.003943106541623997
3948,2021-08-16 09:53:51,ATVI,2 mins,BUY,112.0,83.58,1.0,,
3969,2021-08-16 09:55:11,MSFT,12 mins,SELL,22.0,292.2,1.035403,-3.422196365621133e-05,-0.00035078325002102506
