.id,time,sym,parameters,side,quantity,price,                    commission,pct_return (excl commission), pct_returns ( incl commission)
6138e42054cd6452ca477fd5,2021-09-08 12:26:08,AMD,tsrh_dc-2m_emkt_pog,sell,8.786165704,106.34,0,0.000847058823529423,0.000847058823529423
6138e46754cd6452ca477fd7,2021-09-08 12:27:19,AMD,tsrh_dc-2m_emkt_pog,buy,6.410665795,106.37,0,,
6138e46754cd6452ca477fd9,2021-09-08 12:27:19,MSFT,tsrh_dc-2m_emkt_pog,buy,1.847294454,299,0,,
6138e54a54cd6452ca477fdb,2021-09-08 12:31:06,AMD,tsrh_dc-2m_emkt_pog,sell,6.410665795,106.4,0,0.00028203440819773995,0.00028203440819773995
6138e54b8cd72c1da2283cf3,2021-09-08 12:31:07,AMD,tsrh_dc-2m_emkt_pog,sell,6.410665795,106.38,0,9.401146939924665e-05,9.40114693990246e-05
6138e54b54cd6452ca477fdd,2021-09-08 12:31:07,TSLA,tsrh_dc-2m_emkt_pog,sell,0.697589402,747.41,0,0.001379994104879545,0.001379994104879545
6138e54b8cd72c1da2283cf5,2021-09-08 12:31:07,TSLA,tsrh_dc-2m_emkt_pog,sell,0.697589402,747.4,0,0.0013665961038613617,0.0013665961038611396
6138e5d254cd6452ca477fdf,2021-09-08 12:33:22,MSFT,tsrh_dc-2m_emkt_pog,sell,1.847294454,298.94,0,-0.00020066889632108786,-0.00020066889632097684
6138e5d354cd6452ca477fe1,2021-09-08 12:33:23,NVDA,tsrh_dc-2m_emkt_pog,sell,3.566003345,222.77,0,0.0010335220634494213,0.0010335220634491993
6138e68554cd6452ca477fe3,2021-09-08 12:36:21,AAPL,tsrh_dc-2m_emkt_pog,sell,4.15459211,154.5,0,-0.0014219234746638554,-0.0014219234746640774
6138e76854cd6452ca477fe5,2021-09-08 12:40:08,AMD,tsrh_dc-2m_emkt_pog,buy,5.60430457,106.45,0,,
6138e83554cd6452ca477fe7,2021-09-08 12:43:33,AMD,tsrh_dc-2m_emkt_pog,sell,5.60430457,106.32,0,-0.0012212306247064708,-0.0012212306247066929
6138e85654cd6452ca477fe9,2021-09-08 12:44:06,AMD,tsrh_dc-2m_emkt_pog,buy,5.605110377,106.41,0,,
6138e89954cd6452ca477feb,2021-09-08 12:45:13,AMD,tsrh_dc-2m_emkt_pog,sell,5.605110377,106.36,0,-0.0004698806503148356,-0.0004698806503148356
6138e98654cd6452ca477fed,2021-09-08 12:49:10,AMD,tsrh_dc-2m_emkt_pog,buy,5.606717558,106.37,0,,
6138ea4f54cd6452ca477fef,2021-09-08 12:52:31,AMD,tsrh_dc-2m_emkt_pog,sell,5.606717558,106.42,0,0.00047005734699623325,0.0004700573469964553
6138ebdd54cd6452ca477ff1,2021-09-08 12:59:09,MSFT,tsrh_dc-2m_emkt_pog,buy,1.996384424,298.76,0,,
6138ecdd54cd6452ca477ff3,2021-09-08 13:03:25,MSFT,tsrh_dc-2m_emkt_pog,sell,1.996384424,298.75,0,-3.3471682956198734e-05,-3.3471682956198734e-05
6138ed3f54cd6452ca477ff5,2021-09-08 13:05:03,NVDA,tsrh_dc-2m_emkt_pog,buy,2.676040997,222.88,0,,
6138edcb54cd6452ca477ff7,2021-09-08 13:07:23,AMD,tsrh_dc-2m_emkt_pog,buy,4.534996471,106.53,0,,
6138ee4d54cd6452ca477ff9,2021-09-08 13:09:33,AAPL,tsrh_dc-2m_emkt_pog,buy,2.533974428,154.43,0,,
6138eef654cd6452ca477ffb,2021-09-08 13:12:22,MSFT,tsrh_dc-2m_emkt_pog,buy,1.061202429,298.69,0,,
6138ef5d54cd6452ca477ffd,2021-09-08 13:14:05,MSFT,tsrh_dc-2m_emkt_pog,sell,1.061202429,298.63,0,-0.00020087716361449903,-0.000200877163614388
6138ef5e54cd6452ca477fff,2021-09-08 13:14:06,NVDA,tsrh_dc-2m_emkt_pog,sell,2.676040997,222.76,0,-0.0005384063173008435,-0.0005384063173008435
6138f04254cd6452ca478001,2021-09-08 13:17:53,AMD,tsrh_dc-2m_emkt_pog,sell,4.534996471,106.21,0,-0.0030038486811228005,-0.0030038486811226894
6138f04254cd6452ca478003,2021-09-08 13:17:54,TSLA,tsrh_dc-2m_emkt_pog,buy,0.697410204,748.105,0,,
6138f11054cd6452ca478005,2021-09-08 13:21:20,MSFT,tsrh_dc-2m_emkt_pog,buy,1.414439417,298.78,0,,
6138f11154cd6452ca478007,2021-09-08 13:21:21,NVDA,tsrh_dc-2m_emkt_pog,buy,1.535027038,223,0,,
6138f1b854cd6452ca478009,2021-09-08 13:24:08,AAPL,tsrh_dc-2m_emkt_pog,sell,2.533974428,154.37,0,-0.00038852554555468544,-0.0003885255455545744
6138f1b954cd6452ca47800b,2021-09-08 13:24:09,MSFT,tsrh_dc-2m_emkt_pog,sell,1.414439417,298.63,0,-0.0005020416359862168,-0.0005020416359862168
6138f1fb54cd6452ca47800d,2021-09-08 13:25:15,NVDA,tsrh_dc-2m_emkt_pog,sell,1.535027038,222.79,0,-0.0009417040358744577,-0.0009417040358745687
6138f28c54cd6452ca47800f,2021-09-08 13:27:40,TSLA,tsrh_dc-2m_emkt_pog,sell,0.697410204,749.975,0,0.002499649113426594,0.002499649113426816
6138f3d554cd6452ca478011,2021-09-08 13:33:09,NVDA,tsrh_dc-2m_emkt_pog,buy,2.669612329,223.33,0,,
6138f4d754cd6452ca478013,2021-09-08 13:37:27,AMD,tsrh_dc-2m_emkt_pog,buy,4.53579095,106.47,0,,
6138f51854cd6452ca478015,2021-09-08 13:38:32,AAPL,tsrh_dc-2m_emkt_pog,buy,2.529714716,154.63,0,,
6138f51954cd6452ca478017,2021-09-08 13:38:33,MSFT,tsrh_dc-2m_emkt_pog,buy,1.059938873,298.93,0,,
6138f57c54cd6452ca478019,2021-09-08 13:40:12,TSLA,tsrh_dc-2m_emkt_pog,buy,0.341992414,750.445,0,,
6138f73554cd6452ca47801b,2021-09-08 13:47:32,TSLA,tsrh_dc-2m_emkt_pog,sell,0.341992414,750.94,0,0.0006596086322114836,0.0006596086322114836
6138f79754cd6452ca47801d,2021-09-08 13:49:10,NVDA,tsrh_dc-2m_emkt_pog,sell,2.669612329,223.42,0,0.00040299108941921347,0.00040299108941921347
6138f7dd54cd6452ca47801f,2021-09-08 13:50:21,AMD,tsrh_dc-2m_emkt_pog,sell,4.53579095,106.61,0,0.0013149243918475495,0.0013149243918475495
6138f7de54cd6452ca478021,2021-09-08 13:50:22,MSFT,tsrh_dc-2m_emkt_pog,sell,1.059938873,299.06,0,0.00043488442110195535,0.00043488442110195535
6138f82054cd6452ca478023,2021-09-08 13:51:28,AAPL,tsrh_dc-2m_emkt_pog,sell,2.529714716,154.84,0,0.0013580805794477513,0.0013580805794477513
6138f90a54cd6452ca478025,2021-09-08 13:55:22,NVDA,tsrh_dc-2m_emkt_pog,buy,2.67286542,223.18,0,,
6138f97654cd6452ca478027,2021-09-08 13:57:10,AAPL,tsrh_dc-2m_emkt_pog,buy,3.121983489,154.77,0,,
6138f9b854cd6452ca478029,2021-09-08 13:58:16,AMD,tsrh_dc-2m_emkt_pog,buy,3.678761176,106.39,0,,
6138fa3c54cd6452ca47802b,2021-09-08 14:00:28,MSFT,tsrh_dc-2m_emkt_pog,buy,1.060979101,298.8,0,,
6138fa3d54cd6452ca47802d,2021-09-08 14:00:29,NVDA,tsrh_dc-2m_emkt_pog,sell,2.67286542,223.17,0,-4.480688233721164e-05,-4.480688233721164e-05
6138fa6354cd6452ca47802f,2021-09-08 14:01:07,MSFT,tsrh_dc-2m_emkt_pog,sell,1.060979101,298.87,0,0.00023427041499335388,0.00023427041499335388
6138fa8454cd6452ca478031,2021-09-08 14:01:40,AAPL,tsrh_dc-2m_emkt_pog,sell,3.121983489,154.84,0,0.00045228403437347353,0.00045228403437347353
6138faf054cd6452ca478033,2021-09-08 14:03:28,AMD,tsrh_dc-2m_emkt_pog,sell,3.678761176,106.54,0,0.0014099069461415148,0.0014099069461415148
6138fb5354cd6452ca478035,2021-09-08 14:05:07,TSLA,tsrh_dc-2m_emkt_pog,buy,0.79198506,753.405,0,,
6138fb5854cd6452ca478037,2021-09-08 14:05:12,TSLA,tsrh_dc-1d_emkt_pog,buy,2.521699891,753.46,0,,
6138fcc254cd6452ca478039,2021-09-08 14:11:14,TSLA,tsrh_dc-2m_emkt_pog,sell,0.79198506,753.115,0,-0.000384919133799122,-0.000384919133799011
6138fda854cd6452ca47803b,2021-09-08 14:15:04,MSFT,tsrh_dc-1h_emkt_pog,buy,6.350691891,299.18,0,,
6138fda954cd6452ca47803d,2021-09-08 14:15:05,NVDA,tsrh_dc-1h_emkt_pog,buy,6.887446856,223.45,0,,
6138fe2c54cd6452ca47803f,2021-09-08 14:17:16,TSLA,tsrh_dc-2m_emkt_pog,buy,0.792926973,752.455,0,,
6138fe2d54cd6452ca478041,2021-09-08 14:17:17,AAPL,tsrh_dc-2m_emkt_pog,buy,3.121761587,154.81,0,,
6138fe2e54cd6452ca478043,2021-09-08 14:17:18,NVDA,tsrh_dc-2m_emkt_pog,buy,1.754467229,223.12,0,,
6138fe6f54cd6452ca478045,2021-09-08 14:18:23,AMD,tsrh_dc-2m_emkt_pog,buy,2.977835742,106.48,0,,
6138fe7054cd6452ca478047,2021-09-08 14:18:24,MSFT,tsrh_dc-2m_emkt_pog,buy,0.859209017,298.92,0,,
6139000654cd6452ca478049,2021-09-08 14:25:10,NVDA,tsrh_dc-2m_emkt_pog,sell,1.754467229,223.2,0,0.00035855145213337103,0.000358551452133149
6139004c54cd6452ca47804b,2021-09-08 14:26:20,AMD,tsrh_dc-2m_emkt_pog,sell,2.977835742,106.44,0,-0.00037565740045086837,-0.00037565740045075735
613900f054cd6452ca47804d,2021-09-08 14:29:04,TSLA,tsrh_dc-2m_emkt_pog,sell,0.792926973,752.365,0,-0.00011960848157033244,-0.00011960848157044346
6139013254cd6452ca47804f,2021-09-08 14:30:10,AAPL,tsrh_dc-2m_emkt_pog,sell,3.121761587,154.8,0,-6.459531038038868e-05,-6.459531038027766e-05
613901b554cd6452ca478051,2021-09-08 14:32:21,MSFT,tsrh_dc-2m_emkt_pog,sell,0.859209017,298.825,0,-0.00031781078549453223,-0.00031781078549453223
6139038d54cd6452ca478053,2021-09-08 14:40:13,NVDA,tsrh_dc-2m_emkt_pog,buy,2.6720302,223.28,0,,
613903d954cd6452ca478055,2021-09-08 14:41:29,TSLA,tsrh_dc-2m_emkt_pog,buy,0.64216071,752.545,0,,
613904be54cd6452ca478057,2021-09-08 14:45:18,AAPL,tsrh_dc-2m_emkt_pog,buy,2.528495662,154.81,0,,
6139055a54cd6452ca478059,2021-09-08 14:47:54,AAPL,tsrh_dc-2m_emkt_pog,sell,2.528495662,154.71,0,-0.000645953103804664,-0.000645953103804664
6139055b54cd6452ca47805b,2021-09-08 14:47:55,NVDA,tsrh_dc-2m_emkt_pog,sell,2.6720302,223.2,0,-0.00035829451809388235,-0.00035829451809388235
6139088954cd6452ca47805d,2021-09-08 15:01:29,TSLA,tsrh_dc-2m_emkt_pog,sell,0.64216071,751.89,0,-0.000870379844394642,-0.000870379844394531
61390a2854cd6452ca47805f,2021-09-08 15:08:24,NVDA,tsrh_dc-2m_emkt_pog,buy,2.669601333,223.42,0,,
61390ad754cd6452ca478061,2021-09-08 15:11:19,AAPL,tsrh_dc-2m_emkt_pog,buy,3.121524114,154.77,0,,
61390ad954cd6452ca478063,2021-09-08 15:11:21,MSFT,tsrh_dc-2m_emkt_pog,buy,1.309614178,298.81,0,,
61390b5f54cd6452ca478065,2021-09-08 15:13:35,AMD,tsrh_dc-2m_emkt_pog,buy,2.976839859,106.48,0,,
61390bc654cd6452ca478067,2021-09-08 15:15:18,TSLA,tsrh_dc-2m_emkt_pog,buy,0.340841209,753.28,0,,
61390bc754cd6452ca478069,2021-09-08 15:15:19,AMD,tsrh_dc-1h_emkt_pog,buy,11.710568342,106.45,0,,
61390bc854cd6452ca47806b,2021-09-08 15:15:20,TSLA,tsrh_dc-1h_emkt_pog,buy,1.340134712,753.46,0,,
61390cc154cd6452ca47806d,2021-09-08 15:19:29,AAPL,tsrh_dc-2m_emkt_pog,sell,3.121524114,154.77,0,0.0,0.0
61390cc754cd6452ca47806f,2021-09-08 15:19:35,MSFT,tsrh_dc-2m_emkt_pog,sell,1.309614178,298.89,0,0.0002677286570060833,0.0002677286570060833
61390cea54cd6452ca478071,2021-09-08 15:20:10,AMD,tsrh_dc-2m_emkt_pog,sell,2.976839859,106.36,0,-0.001126972201352383,-0.001126972201352272
61390ceb54cd6452ca478073,2021-09-08 15:20:11,NVDA,tsrh_dc-2m_emkt_pog,sell,2.669601333,223.65,0,0.0010294512577209147,0.0010294512577209147
61390d9f54cd6452ca478075,2021-09-08 15:23:11,MSFT,tsrh_dc-2m_emkt_pog,buy,1.832420264,298.91,0,,
61390da154cd6452ca478077,2021-09-08 15:23:13,NVDA,tsrh_dc-2m_emkt_pog,buy,1.983637129,223.66,0,,
61390e2d54cd6452ca478079,2021-09-08 15:25:33,AMD,tsrh_dc-2m_emkt_pog,buy,3.378759185,106.36,0,,
61390e5154cd6452ca47807b,2021-09-08 15:26:09,AAPL,tsrh_dc-2m_emkt_pog,buy,1.8790621,154.91,0,,
61390e9654cd6452ca47807d,2021-09-08 15:27:18,MSFT,tsrh_dc-2m_emkt_pog,sell,1.832420264,298.85,0,-0.00020072931651671233,-0.00020072931651682335
61390f5654cd6452ca47807f,2021-09-08 15:30:30,AMD,tsrh_dc-2m_emkt_pog,sell,3.378759185,106.33,0,-0.0002820609251598105,-0.0002820609251598105
61390ffb54cd6452ca478081,2021-09-08 15:33:15,TSLA,tsrh_dc-2m_emkt_pog,sell,0.340841209,752.23,0,-0.0013939039932030495,-0.0013939039932030495
61390ffc54cd6452ca478083,2021-09-08 15:33:16,AAPL,tsrh_dc-2m_emkt_pog,sell,1.8790621,154.78,0,-0.0008391969530694432,-0.0008391969530696652
6139100254cd6452ca478085,2021-09-08 15:33:22,NVDA,tsrh_dc-2m_emkt_pog,sell,1.983637129,223.35,0,-0.001386032370562451,-0.0013860323705625621
6139106854cd6452ca478087,2021-09-08 15:35:04,NVDA,tsrh_dc-2m_emkt_pog,buy,2.671324508,223.2,0,,
613910ae54cd6452ca478089,2021-09-08 15:36:14,MSFT,tsrh_dc-2m_emkt_pog,buy,1.616690993,298.73,0,,
613910f254cd6452ca47808b,2021-09-08 15:37:22,AAPL,tsrh_dc-2m_emkt_pog,buy,2.527901915,154.75,0,,
613910f354cd6452ca47808d,2021-09-08 15:37:23,NVDA,tsrh_dc-2m_emkt_pog,sell,2.671324508,223.11,0,-0.0004032258064514682,-0.0004032258064513572
613910f954cd6452ca47808f,2021-09-08 15:37:29,AAPL,tsrh_dc-1h_emkt_pog,buy,5.284536402,154.77,0,,
613911a854cd6452ca478091,2021-09-08 15:40:24,MSFT,tsrh_dc-2m_emkt_pog,sell,1.616690993,298.78,0,0.00016737522177212583,0.00016737522177190378
613911f354cd6452ca478093,2021-09-08 15:41:39,AAPL,tsrh_dc-2m_emkt_pog,sell,2.527901915,154.74,0,-6.462035541188182e-05,-6.462035541188182e-05
6139130c54cd6452ca478095,2021-09-08 15:46:20,MSFT,tsrh_dc-2m_emkt_pog,buy,1.993261696,299.11,0,,
6139137354cd6452ca478097,2021-09-08 15:48:03,MSFT,tsrh_dc-2m_emkt_pog,sell,1.993261696,299.12,0,3.34325164654814e-05,3.34325164654814e-05
613914a754cd6452ca478099,2021-09-08 15:53:11,TSLA,tsrh_dc-2m_emkt_pog,buy,0.791262383,753.49,0,,
613915d354cd6452ca47809b,2021-09-08 15:58:11,MSFT,tsrh_dc-2m_emkt_pog,buy,1.610728829,299.82,0,,
613a0ec58475645483b27ae7,2021-09-09 09:40:21,MSFT,tsrh_dc-4h_emkt_pog,buy,6.294934235,301.83,0,,
613a0f488475645483b27ae9,2021-09-09 09:42:32,AMD,tsrh_dc-2m_emkt_pog,buy,3.663347642,106.78,0,,
613a0f498475645483b27aeb,2021-09-09 09:42:33,AAPL,tsrh_dc-2m_emkt_pog,buy,2.042477481,155.13,0,,
613a0fab8475645483b27aed,2021-09-09 09:44:11,AAPL,tsrh_dc-2m_emkt_pog,sell,2.042477481,154.9,0,-0.0014826274737316236,-0.0014826274737317346
613a0ff78475645483b27aef,2021-09-09 09:45:27,AAPL,tsrh_dc-2m_emkt_pog,buy,2.042823909,155.06,0,,
613a10008475645483b27af1,2021-09-09 09:45:36,MSFT,tsrh_dc-2m_emkt_pog,sell,1.610728829,301.85,0,0.006770729104129236,0.006770729104129236
613a10218475645483b27af3,2021-09-09 09:46:09,NVDA,tsrh_dc-2m_emkt_pog,buy,1.552629755,224.75,0,,
613a114f8475645483b27af5,2021-09-09 09:51:11,AAPL,tsrh_dc-2m_emkt_pog,sell,2.042823909,155.01,0,-0.0003224558235522812,-0.00032245582355205915
613a11908475645483b27af7,2021-09-09 09:52:16,AMD,tsrh_dc-2m_emkt_pog,sell,3.663347642,106.76,0,-0.00018730099269526068,-0.00018730099269514966
613a11918475645483b27af9,2021-09-09 09:52:17,MSFT,tsrh_dc-2m_emkt_pog,buy,1.382356983,301.75,0,,
613a12bf8475645483b27afb,2021-09-09 09:57:19,NVDA,tsrh_dc-2m_emkt_pog,sell,1.552629755,223.61,0,-0.0050723025583981896,-0.0050723025583980785
613a14708475645483b27afd,2021-09-09 10:04:32,MSFT,tsrh_dc-2m_emkt_pog,sell,1.382356983,301.57,0,-0.0005965202982601836,-0.0005965202982601836
613a15138475645483b27aff,2021-09-09 10:07:15,AMD,tsrh_dc-2m_emkt_pog,buy,4.526696801,106.71,0,,
613a15558475645483b27b01,2021-09-09 10:08:21,AAPL,tsrh_dc-2m_emkt_pog,buy,2.516986109,155.45,0,,
613a15f88475645483b27b03,2021-09-09 10:11:04,TSLA,tsrh_dc-2m_emkt_pog,sell,0.791262383,758.915,0,0.007199830123823636,0.007199830123823636
613a163c8475645483b27b05,2021-09-09 10:12:12,AMD,tsrh_dc-2m_emkt_pog,sell,4.526696801,106.61,0,-0.0009371192952862817,-0.0009371192952862817
613a17e68475645483b27b07,2021-09-09 10:19:13,MSFT,tsrh_dc-2m_emkt_pog,buy,1.737510087,300.84,0,,
613a17e78475645483b27b09,2021-09-09 10:19:19,NVDA,tsrh_dc-2m_emkt_pog,buy,1.889491043,224.08,0,,
613a18298475645483b27b0b,2021-09-09 10:20:25,TSLA,tsrh_dc-2m_emkt_pog,buy,0.452771396,757.45,0,,
613a186f8475645483b27b0d,2021-09-09 10:21:35,AAPL,tsrh_dc-2m_emkt_pog,sell,2.516986109,155.28,0,-0.001093599228047526,-0.001093599228047526
613a18918475645483b27b0f,2021-09-09 10:22:09,AMD,tsrh_dc-2m_emkt_pog,buy,3.302842825,106.59,0,,
613a19148475645483b27b11,2021-09-09 10:24:20,AMD,tsrh_dc-2m_emkt_pog,sell,3.302842825,106.44,0,-0.0014072614691810204,-0.0014072614691810204
613a195b8475645483b27b13,2021-09-09 10:25:31,TSLA,tsrh_dc-2m_emkt_pog,sell,0.452771396,756.53,0,-0.00121460162386966,-0.00121460162386966
613a195c8475645483b27b15,2021-09-09 10:25:32,MSFT,tsrh_dc-2m_emkt_pog,sell,1.737510087,300.65,0,-0.0006315649514692101,-0.0006315649514693211
